"CCRYP_KC8782" "CDUBI_KC8779" "CDUBI_KC8780" "CDUBI_KC8781" "CGRAY_KC8769" "CGRAY_KC8770" "CGRAY_KC8771" "CHAMU_KC8582" "CHAMU_KC8601" "CHAMU_KC8602" "CNERT_KC8482" "CNERT_KC8483" "CNERT_KC8484" "CRUST_KC8774" "CRUST_KC8775" "CSETO_KC8659" "CSETO_KC8660" "CSETO_KC8661" "CTENE_KC8583" "CTENE_KC8585" "CTENE_KC8587" "OAUST_KC8577" "OAUST_KC8579" "OAUST_KC8580" "OINCO_KC8597" "OINCO_KC8598" "PFALL_KC8497" "PFALL_KC8498" "PFALL_KC8499" "PHORS_KC8784" "PHORS_KC8785" "PLUCI_KC8540" "PLUCI_KC8783" "PPALL_KC8786"
"OG0000019" 2941 5876 5876 5876 5003 5003 5003 1882 1882 1882 4785 4785 4785 5363 5363 4281 4281 4281 7869 7869 7869 14502 14502 14502 28411 28411 6217 6217 6217 6311 6311 9188 9188 2908
"OG0000020" 8552 5217 5217 5217 7910 7910 7910 3600 3600 3600 4324 4324 4324 6224 6224 2881 2881 2881 3010 3010 3010 6212 6212 6212 4980 4980 4403 4403 4403 1315 1315 7983 7983 8092
"OG0000021" 4002 4205 4205 4205 6180 6180 6180 2508 2508 2508 1718 1718 1718 4220 4220 7696 7696 7696 2153 2153 2153 7612 7612 7612 6646 6646 4703 4703 4703 5936 5936 8898 8898 6780
"OG0000022" 1336 8411 8411 8411 6403 6403 6403 2254 2254 2254 6438 6438 6438 7823 7823 1813 1813 1813 7403 7403 7403 9718 9718 9718 10257 10257 6682 6682 6682 3526 3526 9769 9769 1610
"OG0000023" 9162 15198 15198 15198 11740 11740 11740 5907 5907 5907 10013 10013 10013 5989 5989 790 790 790 4754 4754 4754 14046 14046 14046 13137 13137 2416 2416 2416 7454 7454 9735 9735 6044
"OG0000024" 3970 11204 11204 11204 7991 7991 7991 5219 5219 5219 5785 5785 5785 3087 3087 4029 4029 4029 7340 7340 7340 9186 9186 9186 9732 9732 4817 4817 4817 5359 5359 3129 3129 8919
"OG0000025" 2714 4421 4421 4421 4690 4690 4690 3351 3351 3351 4170 4170 4170 6381 6381 3579 3579 3579 7930 7930 7930 6740 6740 6740 13137 13137 5968 5968 5968 6458 6458 11409 11409 3701
"OG0000026" 6305 3202 3202 3202 2791 2791 2791 7309 7309 7309 6142 6142 6142 8470 8470 1004 1004 1004 9581 9581 9581 12036 12036 12036 5194 5194 1026 1026 1026 2641 2641 8257 8257 14123
"OG0000027" 6217 2741 2741 2741 2898 2898 2898 1799 1799 1799 758 758 758 1829 1829 6768 6768 6768 5525 5525 5525 5215 5215 5215 5126 5126 7162 7162 7162 13166 13166 15294 15294 10141
"OG0000028" 3594 9658 9658 9658 75762 75762 75762 3998 3998 3998 4790 4790 4790 55558 55558 36709 36709 36709 46765 46765 46765 46163 46163 46163 90659 90659 11334 11334 11334 19065 19065 8913 8913 4088
"OG0000029" 1532 19676 19676 19676 16580 16580 16580 3233 3233 3233 4662 4662 4662 17645 17645 3678 3678 3678 63595 63595 63595 52761 52761 52761 45782 45782 13206 13206 13206 24919 24919 18835 18835 1603
"OG0000030" 7422 8362 8362 8362 10169 10169 10169 5081 5081 5081 1413 1413 1413 4103 4103 5254 5254 5254 8246 8246 8246 7496 7496 7496 12345 12345 2804 2804 2804 10228 10228 8307 8307 12165
"OG0000031" 7414 8022 8022 8022 7695 7695 7695 4187 4187 4187 3896 3896 3896 946 946 7817 7817 7817 6153 6153 6153 4610 4610 4610 3933 3933 8064 8064 8064 5905 5905 3824 3824 6094
"OG0000032" 7684 16148 16148 16148 320 320 320 25537 25537 25537 38470 38470 38470 15489 15489 14135 14135 14135 63331 63331 63331 42926 42926 42926 24862 24862 17014 17014 17014 5834 5834 49304 49304 7503
"OG0000033" 4455 16317 16317 16317 8000 8000 8000 917 917 917 6974 6974 6974 6983 6983 9299 9299 9299 12309 12309 12309 10435 10435 10435 16448 16448 3839 3839 3839 2453 2453 4767 4767 5005
"OG0000034" 3130 21937 21937 21937 20047 20047 20047 9902 9902 9902 13532 13532 13532 28442 28442 39863 39863 39863 6435 6435 6435 15661 15661 15661 17796 17796 15071 15071 15071 20806 20806 28446 28446 4080
"OG0000035" 2194 8515 8515 8515 12943 12943 12943 6709 6709 6709 5323 5323 5323 9178 9178 11049 11049 11049 18173 18173 18173 16216 16216 16216 17428 17428 1277 1277 1277 2523 2523 912 912 1684
"OG0000036" 2103 15846 15846 15846 25120 25120 25120 28982 28982 28982 13845 13845 13845 7346 7346 20916 20916 20916 20045 20045 20045 49786 49786 49786 61110 61110 23997 23997 23997 21192 21192 65950 65950 8596
"OG0000037" 2020 6115 6115 6115 11127 11127 11127 5432 5432 5432 5838 5838 5838 4976 4976 3141 3141 3141 10283 10283 10283 5293 5293 5293 9378 9378 5302 5302 5302 4510 4510 4117 4117 890
"OG0000038" 501 8183 8183 8183 12529 12529 12529 879 879 879 11341 11341 11341 5725 5725 2074 2074 2074 8389 8389 8389 6407 6407 6407 20261 20261 4771 4771 4771 1351 1351 9010 9010 470
"OG0000039" 11668 25838 25838 25838 40453 40453 40453 14444 14444 14444 54944 54944 54944 9989 9989 15548 15548 15548 9085 9085 9085 90601 90601 90601 39791 39791 18876 18876 18876 26034 26034 56626 56626 7077
"OG0000040" 3652 6709 6709 6709 4265 4265 4265 2857 2857 2857 2745 2745 2745 5361 5361 3337 3337 3337 2985 2985 2985 9348 9348 9348 13401 13401 4093 4093 4093 2920 2920 5926 5926 2564
"OG0000041" 5922 1417 1417 1417 2652 2652 2652 1395 1395 1395 3365 3365 3365 3293 3293 3632 3632 3632 2482 2482 2482 6054 6054 6054 4021 4021 15256 15256 15256 14189 14189 14995 14995 7787
"OG0000042" 6778 11909 11909 11909 5685 5685 5685 3250 3250 3250 5082 5082 5082 8716 8716 5939 5939 5939 8980 8980 8980 8571 8571 8571 7319 7319 8179 8179 8179 2283 2283 4180 4180 6756
"OG0000043" 25626 19583 19583 19583 54367 54367 54367 4261 4261 4261 48860 48860 48860 32281 32281 38291 38291 38291 20049 20049 20049 102484 102484 102484 84382 84382 47811 47811 47811 9957 9957 26542 26542 9894
"OG0000044" 4859 8121 8121 8121 10007 10007 10007 7771 7771 7771 5254 5254 5254 11448 11448 1729 1729 1729 7648 7648 7648 4834 4834 4834 5460 5460 2776 2776 2776 3683 3683 4294 4294 3996
"OG0000045" 751 6174 6174 6174 6673 6673 6673 3328 3328 3328 2134 2134 2134 5152 5152 1350 1350 1350 8662 8662 8662 4594 4594 4594 4728 4728 3056 3056 3056 8077 8077 6611 6611 4984
"OG0000046" 3338 5861 5861 5861 9845 9845 9845 2574 2574 2574 7102 7102 7102 10449 10449 2164 2164 2164 5128 5128 5128 3658 3658 3658 7183 7183 1891 1891 1891 2060 2060 6039 6039 6539
"OG0000049" 1698 4226 4226 4226 8699 8699 8699 2498 2498 2498 5187 5187 5187 3369 3369 3676 3676 3676 13451 13451 13451 6883 6883 6883 9623 9623 608 608 608 1442 1442 4504 4504 347
"OG0000050" 3626 3628 3628 3628 17347 17347 17347 5298 5298 5298 9416 9416 9416 1981 1981 6781 6781 6781 3736 3736 3736 8680 8680 8680 7894 7894 3766 3766 3766 2503 2503 1974 1974 6724
"OG0000051" 16635 51355 51355 51355 38209 38209 38209 6453 6453 6453 19819 19819 19819 21978 21978 5513 5513 5513 16471 16471 16471 4018 4018 4018 90184 90184 17696 17696 17696 10942 10942 46179 46179 14920
"OG0000052" 3640 12015 12015 12015 32530 32530 32530 3664 3664 3664 5834 5834 5834 18393 18393 15847 15847 15847 17188 17188 17188 30141 30141 30141 16181 16181 2291 2291 2291 7447 7447 17109 17109 7826
"OG0000054" 5538 6181 6181 6181 4802 4802 4802 7064 7064 7064 6116 6116 6116 4631 4631 5174 5174 5174 4844 4844 4844 6059 6059 6059 6410 6410 1712 1712 1712 5253 5253 2919 2919 6762
"OG0000055" 8096 4858 4858 4858 2339 2339 2339 7455 7455 7455 4689 4689 4689 9419 9419 5157 5157 5157 6866 6866 6866 2516 2516 2516 5411 5411 5574 5574 5574 4348 4348 9643 9643 6227
"OG0000057" 10002 8725 8725 8725 4749 4749 4749 6130 6130 6130 10571 10571 10571 14756 14756 6512 6512 6512 7506 7506 7506 15487 15487 15487 8440 8440 10199 10199 10199 11774 11774 13300 13300 16663
"OG0000058" 3008 2914 2914 2914 5544 5544 5544 5909 5909 5909 3879 3879 3879 2952 2952 1552 1552 1552 6330 6330 6330 13831 13831 13831 4571 4571 1333 1333 1333 3713 3713 5736 5736 2484
"OG0000059" 3481 8949 8949 8949 47670 47670 47670 2780 2780 2780 19720 19720 19720 44210 44210 5996 5996 5996 21761 21761 21761 30060 30060 30060 77751 77751 2858 2858 2858 2310 2310 18185 18185 1655
"OG0000061" 872 18168 18168 18168 21860 21860 21860 10530 10530 10530 43887 43887 43887 18263 18263 21030 21030 21030 19727 19727 19727 38131 38131 38131 32774 32774 21740 21740 21740 24514 24514 39242 39242 6132
"OG0000062" 2016 20810 20810 20810 21021 21021 21021 10717 10717 10717 27443 27443 27443 525 525 23691 23691 23691 49439 49439 49439 54852 54852 54852 19578 19578 39745 39745 39745 34551 34551 18174 18174 13958
"OG0000063" 7152 20261 20261 20261 15018 15018 15018 4651 4651 4651 41672 41672 41672 16658 16658 16441 16441 16441 30047 30047 30047 21906 21906 21906 62538 62538 17340 17340 17340 12046 12046 77331 77331 18514
"OG0000064" 1840 43830 43830 43830 65964 65964 65964 25114 25114 25114 96508 96508 96508 999 999 8629 8629 8629 93206 93206 93206 56439 56439 56439 111267 111267 7085 7085 7085 39821 39821 56040 56040 7138
"OG0000065" 1207 22779 22779 22779 45039 45039 45039 4936 4936 4936 19774 19774 19774 2734 2734 6559 6559 6559 29864 29864 29864 35329 35329 35329 56306 56306 13678 13678 13678 9645 9645 15367 15367 3510
"OG0000066" 3236 5005 5005 5005 4306 4306 4306 4928 4928 4928 1697 1697 1697 1038 1038 7116 7116 7116 9958 9958 9958 5797 5797 5797 9051 9051 3936 3936 3936 3796 3796 2060 2060 3351
"OG0000069" 4264 42726 42726 42726 16003 16003 16003 3541 3541 3541 14920 14920 14920 48483 48483 16525 16525 16525 19579 19579 19579 11987 11987 11987 9731 9731 11069 11069 11069 19366 19366 13930 13930 1019
"OG0000070" 3425 3969 3969 3969 4061 4061 4061 3427 3427 3427 3297 3297 3297 395 395 3330 3330 3330 5281 5281 5281 3618 3618 3618 6937 6937 1414 1414 1414 2896 2896 2612 2612 10321
"OG0000071" 8905 4800 4800 4800 363 363 363 4860 4860 4860 3088 3088 3088 5542 5542 1864 1864 1864 4766 4766 4766 4596 4596 4596 5013 5013 6138 6138 6138 9861 9861 12238 12238 7203
"OG0000072" 2786 25097 25097 25097 36039 36039 36039 14233 14233 14233 39656 39656 39656 18194 18194 7581 7581 7581 23437 23437 23437 12029 12029 12029 29986 29986 25434 25434 25434 18863 18863 19398 19398 5548
"OG0000073" 2555 7198 7198 7198 58150 58150 58150 2856 2856 2856 11078 11078 11078 9080 9080 6729 6729 6729 14377 14377 14377 20019 20019 20019 7328 7328 14808 14808 14808 7630 7630 5612 5612 1410
"OG0000074" 13147 3129 3129 3129 66289 66289 66289 6182 6182 6182 38918 38918 38918 25956 25956 7292 7292 7292 27972 27972 27972 48571 48571 48571 19919 19919 3549 3549 3549 7638 7638 51630 51630 5848
"OG0000076" 12237 27486 27486 27486 71126 71126 71126 3881 3881 3881 12988 12988 12988 93670 93670 35940 35940 35940 19887 19887 19887 129993 129993 129993 59604 59604 48142 48142 48142 40980 40980 13486 13486 9192
"OG0000077" 6142 5446 5446 5446 6034 6034 6034 7446 7446 7446 3717 3717 3717 6708 6708 7531 7531 7531 8431 8431 8431 9590 9590 9590 10066 10066 3035 3035 3035 6750 6750 4001 4001 3789
"OG0000078" 7796 14057 14057 14057 63512 63512 63512 2196 2196 2196 6306 6306 6306 17657 17657 11440 11440 11440 20621 20621 20621 25082 25082 25082 29141 29141 13425 13425 13425 6678 6678 6733 6733 7407
"OG0000079" 3038 6145 6145 6145 6036 6036 6036 1374 1374 1374 1452 1452 1452 3092 3092 1275 1275 1275 5919 5919 5919 5699 5699 5699 7930 7930 3008 3008 3008 2257 2257 4119 4119 3963
"OG0000080" 2912 5517 5517 5517 8301 8301 8301 4365 4365 4365 3438 3438 3438 1845 1845 9632 9632 9632 5806 5806 5806 9608 9608 9608 7370 7370 3638 3638 3638 4369 4369 6300 6300 6046
"OG0000081" 1511 1604 1604 1604 5388 5388 5388 1746 1746 1746 5761 5761 5761 5301 5301 3742 3742 3742 4234 4234 4234 4118 4118 4118 4632 4632 2221 2221 2221 5427 5427 6496 6496 3624
"OG0000082" 2156 5736 5736 5736 3296 3296 3296 1888 1888 1888 2588 2588 2588 5764 5764 2649 2649 2649 1006 1006 1006 6637 6637 6637 7711 7711 1912 1912 1912 4907 4907 3558 3558 6118
"OG0000083" 4226 6974 6974 6974 9342 9342 9342 2458 2458 2458 5279 5279 5279 3400 3400 9395 9395 9395 2583 2583 2583 7639 7639 7639 13974 13974 1991 1991 1991 6524 6524 5025 5025 7021
"OG0000084" 5781 7119 7119 7119 6469 6469 6469 4922 4922 4922 4580 4580 4580 2554 2554 6680 6680 6680 5815 5815 5815 2127 2127 2127 5932 5932 5463 5463 5463 8171 8171 3175 3175 6318
"OG0000085" 1066 8384 8384 8384 5201 5201 5201 6279 6279 6279 6884 6884 6884 8014 8014 443 443 443 11009 11009 11009 4287 4287 4287 8821 8821 2544 2544 2544 4440 4440 1792 1792 1898
"OG0000087" 655 6684 6684 6684 11985 11985 11985 3597 3597 3597 5563 5563 5563 6818 6818 994 994 994 6634 6634 6634 9360 9360 9360 6452 6452 4404 4404 4404 2986 2986 2112 2112 307
"OG0000088" 4328 46258 46258 46258 60397 60397 60397 3529 3529 3529 25411 25411 25411 114632 114632 118404 118404 118404 34631 34631 34631 53766 53766 53766 27919 27919 26422 26422 26422 17758 17758 76340 76340 4211
"OG0000089" 25275 23837 23837 23837 3661 3661 3661 728 728 728 3663 3663 3663 28621 28621 5294 5294 5294 35703 35703 35703 44081 44081 44081 26731 26731 8368 8368 8368 42654 42654 33245 33245 13223
"OG0000090" 7125 10189 10189 10189 4345 4345 4345 5661 5661 5661 6090 6090 6090 4509 4509 1477 1477 1477 4637 4637 4637 4785 4785 4785 5121 5121 8509 8509 8509 6394 6394 7516 7516 4561
"OG0000091" 856 1125 1125 1125 5287 5287 5287 1466 1466 1466 331 331 331 5731 5731 3198 3198 3198 3212 3212 3212 9336 9336 9336 5684 5684 5707 5707 5707 5760 5760 9193 9193 1992
"OG0000092" 6938 7123 7123 7123 4526 4526 4526 1024 1024 1024 4179 4179 4179 2828 2828 4846 4846 4846 11665 11665 11665 8871 8871 8871 14231 14231 2472 2472 2472 633 633 9379 9379 10371
"OG0000094" 312 11691 11691 11691 59668 59668 59668 1489 1489 1489 3457 3457 3457 12949 12949 2965 2965 2965 22009 22009 22009 22737 22737 22737 80888 80888 16022 16022 16022 4450 4450 1677 1677 804
"OG0000095" 7149 4494 4494 4494 701 701 701 4310 4310 4310 787 787 787 5869 5869 5203 5203 5203 5093 5093 5093 3126 3126 3126 9877 9877 3846 3846 3846 4569 4569 3702 3702 2988
"OG0000096" 11060 3800 3800 3800 6128 6128 6128 3687 3687 3687 6711 6711 6711 5732 5732 835 835 835 1754 1754 1754 6265 6265 6265 4639 4639 1232 1232 1232 1189 1189 2713 2713 4570
"OG0000097" 9082 4416 4416 4416 36145 36145 36145 30726 30726 30726 15640 15640 15640 16710 16710 3049 3049 3049 38170 38170 38170 10326 10326 10326 14541 14541 16794 16794 16794 8352 8352 15418 15418 17372
"OG0000098" 1650 7646 7646 7646 5844 5844 5844 2627 2627 2627 3373 3373 3373 5695 5695 1506 1506 1506 5846 5846 5846 2589 2589 2589 17472 17472 4967 4967 4967 6016 6016 2048 2048 2288
"OG0000099" 3336 10640 10640 10640 12962 12962 12962 4134 4134 4134 38526 38526 38526 10671 10671 30809 30809 30809 41011 41011 41011 3648 3648 3648 50505 50505 6046 6046 6046 10980 10980 20671 20671 1962
"OG0000100" 904 16653 16653 16653 2343 2343 2343 1285 1285 1285 1407 1407 1407 3073 3073 3856 3856 3856 17492 17492 17492 4758 4758 4758 15616 15616 1869 1869 1869 2084 2084 2519 2519 682
"OG0000101" 4954 7546 7546 7546 6208 6208 6208 2346 2346 2346 16897 16897 16897 3910 3910 770 770 770 9433 9433 9433 6989 6989 6989 11652 11652 4953 4953 4953 3980 3980 5583 5583 4762
"OG0000102" 5585 5820 5820 5820 5965 5965 5965 5713 5713 5713 4607 4607 4607 5389 5389 5482 5482 5482 15378 15378 15378 3438 3438 3438 4303 4303 985 985 985 3662 3662 1959 1959 4327
"OG0000103" 2650 11557 11557 11557 8467 8467 8467 9361 9361 9361 9101 9101 9101 10573 10573 7833 7833 7833 7832 7832 7832 5456 5456 5456 7821 7821 9975 9975 9975 5339 5339 10404 10404 5666
"OG0000104" 8468 3492 3492 3492 328 328 328 2398 2398 2398 4052 4052 4052 5009 5009 4601 4601 4601 3342 3342 3342 5830 5830 5830 6981 6981 2971 2971 2971 5743 5743 6282 6282 4607
"OG0000106" 15202 13322 13322 13322 15120 15120 15120 23047 23047 23047 15111 15111 15111 21666 21666 27552 27552 27552 12518 12518 12518 9506 9506 9506 8889 8889 10156 10156 10156 29303 29303 20919 20919 12570
"OG0000107" 5065 9110 9110 9110 12956 12956 12956 2042 2042 2042 20847 20847 20847 13397 13397 33006 33006 33006 16807 16807 16807 26674 26674 26674 38890 38890 24862 24862 24862 14024 14024 30000 30000 10407
"OG0000108" 3772 3678 3678 3678 2231 2231 2231 876 876 876 4344 4344 4344 1384 1384 1856 1856 1856 9355 9355 9355 4467 4467 4467 5165 5165 349 349 349 5689 5689 12967 12967 2610
"OG0000109" 1921 2492 2492 2492 2199 2199 2199 3586 3586 3586 2996 2996 2996 660 660 4079 4079 4079 8102 8102 8102 9492 9492 9492 2534 2534 2329 2329 2329 1926 1926 3768 3768 3610
"OG0000110" 757 5849 5849 5849 2970 2970 2970 6883 6883 6883 4515 4515 4515 4248 4248 315 315 315 5101 5101 5101 2535 2535 2535 8382 8382 3348 3348 3348 3328 3328 2487 2487 3639
"OG0000111" 4591 3126 3126 3126 1838 1838 1838 11274 11274 11274 2664 2664 2664 328 328 3980 3980 3980 11312 11312 11312 8647 8647 8647 21977 21977 1884 1884 1884 6045 6045 356 356 4207
"OG0000112" 9736 15991 15991 15991 23152 23152 23152 2021 2021 2021 9070 9070 9070 22684 22684 14111 14111 14111 13206 13206 13206 61272 61272 61272 27656 27656 7179 7179 7179 12956 12956 15702 15702 8984
"OG0000113" 1430 57198 57198 57198 17831 17831 17831 955 955 955 468 468 468 24958 24958 13090 13090 13090 24368 24368 24368 91590 91590 91590 18890 18890 39216 39216 39216 10703 10703 7594 7594 3308
"OG0000114" 5673 36921 36921 36921 79702 79702 79702 8383 8383 8383 32369 32369 32369 20928 20928 18201 18201 18201 27633 27633 27633 23803 23803 23803 17964 17964 41429 41429 41429 19795 19795 44368 44368 4959
"OG0000115" 11770 34734 34734 34734 19003 19003 19003 8636 8636 8636 22831 22831 22831 13272 13272 7671 7671 7671 13425 13425 13425 9236 9236 9236 4400 4400 15570 15570 15570 20224 20224 20720 20720 6143
"OG0000116" 3310 3609 3609 3609 5531 5531 5531 3756 3756 3756 4921 4921 4921 6647 6647 1917 1917 1917 12674 12674 12674 4726 4726 4726 2863 2863 638 638 638 1424 1424 1664 1664 7178
"OG0000118" 1914 12620 12620 12620 82839 82839 82839 3076 3076 3076 5682 5682 5682 28130 28130 6491 6491 6491 17366 17366 17366 19780 19780 19780 47950 47950 5114 5114 5114 17430 17430 19452 19452 3348
"OG0000119" 3680 4462 4462 4462 2626 2626 2626 4399 4399 4399 4034 4034 4034 3518 3518 4017 4017 4017 6611 6611 6611 4044 4044 4044 5672 5672 1821 1821 1821 947 947 1213 1213 5163
"OG0000120" 1774 4126 4126 4126 4794 4794 4794 1824 1824 1824 2228 2228 2228 4964 4964 3364 3364 3364 4674 4674 4674 3554 3554 3554 3088 3088 2520 2520 2520 5038 5038 3280 3280 2606
"OG0000122" 2578 2216 2216 2216 7557 7557 7557 787 787 787 1143 1143 1143 1708 1708 1882 1882 1882 4460 4460 4460 4060 4060 4060 8590 8590 6470 6470 6470 4607 4607 6377 6377 1725
"OG0000124" 3812 10092 10092 10092 2494 2494 2494 8437 8437 8437 9497 9497 9497 3363 3363 12496 12496 12496 9921 9921 9921 3441 3441 3441 8186 8186 2904 2904 2904 3984 3984 3181 3181 3928
"OG0000125" 7367 1452 1452 1452 6380 6380 6380 1065 1065 1065 6618 6618 6618 3313 3313 2275 2275 2275 2162 2162 2162 6809 6809 6809 8733 8733 2230 2230 2230 3321 3321 6464 6464 8810
"OG0000126" 3118 16223 16223 16223 25026 25026 25026 2644 2644 2644 28277 28277 28277 45363 45363 9294 9294 9294 32338 32338 32338 33216 33216 33216 34334 34334 21254 21254 21254 9820 9820 37945 37945 3668
"OG0000127" 1302 19007 19007 19007 29011 29011 29011 6445 6445 6445 14538 14538 14538 27770 27770 6410 6410 6410 20704 20704 20704 43752 43752 43752 22323 22323 5874 5874 5874 19885 19885 22802 22802 1882
"OG0000128" 12908 13218 13218 13218 47814 47814 47814 11895 11895 11895 20238 20238 20238 14273 14273 31491 31491 31491 26298 26298 26298 71490 71490 71490 57453 57453 10165 10165 10165 27409 27409 34404 34404 7558
"OG0000129" 1172 30118 30118 30118 32906 32906 32906 4291 4291 4291 7156 7156 7156 3831 3831 4011 4011 4011 29863 29863 29863 42966 42966 42966 81016 81016 13521 13521 13521 9079 9079 12478 12478 8010
"OG0000130" 2314 6509 6509 6509 5868 5868 5868 4709 4709 4709 8069 8069 8069 1614 1614 7531 7531 7531 12206 12206 12206 7521 7521 7521 11298 11298 633 633 633 901 901 638 638 740
"OG0000131" 6155 40060 40060 40060 31885 31885 31885 3759 3759 3759 37574 37574 37574 24907 24907 17320 17320 17320 9992 9992 9992 18599 18599 18599 22706 22706 9019 9019 9019 13715 13715 22464 22464 10395
"OG0000132" 3229 4310 4310 4310 3855 3855 3855 3580 3580 3580 4984 4984 4984 950 950 8485 8485 8485 3845 3845 3845 1493 1493 1493 6606 6606 5321 5321 5321 8126 8126 3231 3231 1013
"OG0000134" 3765 971 971 971 5025 5025 5025 1655 1655 1655 4208 4208 4208 9012 9012 5366 5366 5366 4318 4318 4318 4536 4536 4536 9262 9262 3533 3533 3533 7184 7184 3009 3009 6958
"OG0000135" 2404 5702 5702 5702 2598 2598 2598 3984 3984 3984 6941 6941 6941 392 392 3061 3061 3061 5481 5481 5481 3784 3784 3784 4488 4488 1396 1396 1396 4739 4739 3126 3126 5056
"OG0000136" 1647 29692 29692 29692 20777 20777 20777 1040 1040 1040 32434 32434 32434 17178 17178 9388 9388 9388 34488 34488 34488 44973 44973 44973 54724 54724 2804 2804 2804 13437 13437 30043 30043 1487
"OG0000138" 20973 8578 8578 8578 24350 24350 24350 3742 3742 3742 20934 20934 20934 9334 9334 10558 10558 10558 43464 43464 43464 22255 22255 22255 28748 28748 22949 22949 22949 9923 9923 18300 18300 7799
"OG0000139" 15550 11801 11801 11801 145316 145316 145316 10971 10971 10971 22211 22211 22211 44347 44347 15162 15162 15162 34621 34621 34621 33707 33707 33707 64007 64007 16852 16852 16852 11674 11674 23613 23613 6140
