"CCRYP_KC8782" "CDUBI_KC8779" "CDUBI_KC8780" "CDUBI_KC8781" "CGRAY_KC8769" "CGRAY_KC8770" "CGRAY_KC8771" "CHAMU_KC8582" "CHAMU_KC8601" "CHAMU_KC8602" "CNERT_KC8482" "CNERT_KC8483" "CNERT_KC8484" "CRUST_KC8774" "CRUST_KC8775" "CSETO_KC8659" "CSETO_KC8660" "CSETO_KC8661" "CTENE_KC8583" "CTENE_KC8585" "CTENE_KC8587" "OAUST_KC8577" "OAUST_KC8579" "OAUST_KC8580" "OINCO_KC8597" "OINCO_KC8598" "PFALL_KC8497" "PFALL_KC8498" "PFALL_KC8499" "PHORS_KC8784" "PHORS_KC8785" "PLUCI_KC8540" "PLUCI_KC8783" "PPALL_KC8786"
"OG0000013" 477.57 345.59 233.6 269.77 474.98 193.77 1341.84 68.64 239.44 612.34 30 36.05 127 43.63 190.77 273.38 342.46 454.72 386.67 584.42 242.01 62.96 146.67 189.4 391.13 584.36 195.86 579.12 692.38 1901.38 2894.15 5646.65 6726.28 499.85
"OG0000014" 59 307.98 361.45 401.94 214.01 120.24 688.18 12 67.01 60.38 40.21 54.44 82.93 151.67 137.82 94.65 186.66 237.47 425.93 795.9 158.81 73.07 157.18 208.78 1203.41 1420.98 747.37 1288.26 526.75 1903.32 2138.94 603.37 424.69 809.26
"OG0000015" 792.91 2211.7 3270.98 497.85 2863.13 2108.29 5610.35 2278.35 1755.99 6145.12 4223.56 2850.4 6259.42 6067.05 1053.57 199.83 1562.2 1195.15 9855.01 6139.95 2685.94 4695.26 7244.42 1263.4 10409.31 11587.49 728.03 3930.32 4610.61 758.71 1454.86 3759.44 1513.73 4461.21
"OG0000016" 19137.8 860.86 1294.39 2238.61 12529.36 7141.97 26575.11 2921.33 6925.33 19821.7 1383.98 1857.84 2767.19 11838.38 8773.58 599.38 564.67 1562.95 13416.71 28963.57 7537.2 1842.29 7050.88 4623.34 8787.61 10481.1 1983.89 9501.22 9060.48 3640.96 5398.83 8647.42 8970.07 5710.75
"OG0000017" 557.03 509.47 555.16 393.38 150 109.02 390.64 30 241.16 446.18 67.72 98.92 127.3 17 81 1173.45 1010.66 1859.67 254.63 171.1 118 173.36 420 442.86 2296.24 3005.3 12 27.76 11 31.99 61.09 51.77 57.17 16.97
"OG0000018" 34 546.42 521.92 466.68 398.57 343.25 1257.61 40 177 426 53 123 205 119 368 26 28.53 23 197.52 146.14 77 27 180 133 1643.48 2537.04 29 53 11 153.58 166.76 207.7 269.96 19
"OG0000019" 128.65 145.68 174 172 67.17 49.21 257.53 52.36 276.48 246.62 284.56 430.1 763.56 70 231.87 491.91 610.09 1055.03 822.16 1037.73 214.06 155.46 477.73 777.47 2813.72 3048.7 206.78 421.89 189.54 256.79 449.52 349.02 536.53 305.93
"OG0000020" 12065.65 2672.17 4259.38 6354.45 10224.11 6384.7 23449.88 277.98 457.75 736.01 498.69 611.15 1232.56 7205.1 9833.57 4707.88 3638.18 11114.68 10118.21 18766.07 5551.99 738.44 1675.84 2176.25 4134.97 4984.36 1379.3 2985.98 2242.94 981.42 1581.81 5814.56 5947.44 5529.34
"OG0000021" 410.22 819.72 1136.66 774.48 873.73 454.88 2238.51 221.88 723.85 1228.94 35.29 88.35 140.87 680.22 754.92 2575.76 2253.37 5270.83 695.45 964.64 312.15 653.24 1779.82 2327.54 1261.95 1802.98 274.85 435.96 134.02 695.55 1093.93 275.63 549.66 308.86
"OG0000022" 801.46 3112.34 3522.87 1113.66 2131.41 1878.74 6198.43 47.57 96.76 230.12 719.41 562.2 1650.4 2996.18 6521.26 92 49 156 2516.05 2726.12 1168.02 2577.24 5433.37 5916.54 11339.28 13422.23 683.27 1101.19 637.34 606.82 541.61 626.41 367.15 332.51
"OG0000023" 458.83 209.35 252.75 132.59 76.97 256.87 772.62 62.92 246.92 449.68 324.37 304.36 552.9 50.32 298.87 19 12 15 689.84 878.38 298.78 242.68 498.86 543.58 1451.28 1508.23 12 72.01 130.5 819.82 1543.87 720.51 796.65 369.92
"OG0000024" 414.56 198.64 395.04 228.39 324.69 266.7 1342.5 147 411.63 689.93 70.01 123.41 339.2 0 81.95 139.7 130.37 265.72 157.09 340.46 64 144.12 415.13 345.92 841.11 1237.78 73.06 95.91 108 141.36 201.37 127.01 148.29 211.13
"OG0000025" 12113.93 2046.34 2089.38 489.79 143.22 50.99 383.26 434.6 3100.59 3156.13 403.14 80.87 149.86 477.21 7730.63 1597.13 1403.81 3271.77 1082.17 1909.72 299.13 115.57 284.43 616.76 6690.94 7875.74 105.29 266.19 110.67 336.81 657.16 323.46 760.98 861.08
"OG0000026" 2572.1 480.92 627.67 711.66 621.34 333.09 1458.75 834.5 3482.62 5614.93 607.93 740.4 1331.53 3012.05 3319.84 64.17 0 139.8 367.66 961.74 90.4 1551.46 3940.01 4070.46 3623.12 4064.3 80.32 336.07 307.22 548.9 924.16 2642.98 3388.25 1935.17
"OG0000027" 2 65.16 95.44 61.58 69.32 33 250.22 23 44 42.98 13 22.03 38.12 0 91.93 285.19 271.46 357.54 114.57 146.86 92.8 35.57 84.02 84.2 252.39 321.36 1150.13 2180.51 757.71 874.63 1399.64 1010.71 1679.44 1534.63
"OG0000028" 172 168.16 359.72 100.11 360.75 69.22 932.65 52 66 214 18.41 32 143.86 131.99 602 346 242.99 515.01 274.71 239.81 101.99 44.84 325.02 213.31 335.94 729.58 139.11 163.39 48.43 158.66 269.64 207.49 255.91 134.84
"OG0000029" 53 78.65 177.09 22.83 135.71 65.5 258.64 42 19 102.18 43.89 28.73 127 55.29 296.15 94 106 273 463.83 522.97 241.46 74.5 144.69 123.41 184.69 299.32 158.01 245.26 65 187.81 186.37 101.48 63.52 65
"OG0000030" 1371.94 4802.24 4012.53 1044.64 2959.8 1154.49 10058.43 220.18 674.71 1134.21 58.98 56.92 164.01 120 603.08 564.22 844.07 1030.85 622.66 974.6 422.46 1340.21 4641.33 5181.58 6944.37 9179.53 68.01 187.38 229.79 1619.11 1829.95 446.08 1357.18 3537.93
"OG0000031" 1409.53 584.12 732.98 452.54 614.19 208.61 1184.86 108.77 800.77 1130.63 36 86 139.83 78 720.25 908.05 868.87 1503.22 942.38 1410.07 314.35 167.33 543.08 665.19 491.89 557.2 356.31 481.86 473.17 590.87 864.11 814.87 1055.31 1249.26
"OG0000032" 86 360.01 661.5 688.28 8.85 12.79 3.6 169.91 455.58 779.29 484.67 597.6 522.74 167.94 544.67 207.07 192.05 277.45 477.06 455.66 275.65 204.66 465.68 195.48 1004.89 983.1 39.12 456.63 74.01 77.89 81 598.36 701.71 411.74
"OG0000033" 98.74 1257.74 1873.61 1377.07 514.58 384.45 1081.78 107.39 555.3 775.59 354.59 563.15 1153.71 78.59 379.25 2744.01 3167.78 3181.52 3738.66 4932.19 2635.91 435.08 1413.73 1500.98 1617.18 1913.88 203.53 481.36 260.83 136 142.22 315.69 547.57 929.65
"OG0000034" 88 334.1 365.54 242.54 931.29 381.34 1270.37 99.48 403.34 682.71 862 759.9 981.49 134.16 310.7 388.62 286.9 269.13 410.85 385.88 190 120.03 380.32 289.14 940.06 1374.89 475.69 415.43 343.73 871.07 393.17 236.66 547.3 267.74
"OG0000035" 117 160.66 326.41 179.87 99.89 62.21 1721.24 30 132.05 205.43 76.34 86.99 158.52 110.27 647.46 401.44 342.46 822.02 734.61 2025.13 538.79 145.23 824.76 441.75 339.38 463.15 9 52.79 20.38 187.05 264 7 21.21 96
"OG0000036" 57 241.24 489.6 11 571.8 454.69 1133.83 165 617.01 1216.01 134.18 138.81 131.14 139.99 81 311.73 401.98 335.89 574.61 315.02 109.73 109.01 433.1 153.42 1684.64 1312.29 133 860.61 640.73 198.48 333.52 625.67 379.02 432.85
"OG0000037" 100.46 359.62 322.29 265.73 439.19 203.66 914.23 56.94 250.94 305.47 110.88 135.16 300.9 446.01 1024.75 116.16 65.5 84.07 422.52 431.08 204.35 65.89 130.09 232.48 324.09 402.05 263.84 407.67 126.9 127.59 273.82 94.44 115.47 50
"OG0000038" 0 188.08 303.6 355.61 271.05 191.19 968.48 5 129.21 361.06 219.7 358.85 390.67 28.43 198.01 1133.54 1512.61 3487.86 182.56 185.88 165.65 126.92 282.05 519.49 3152.86 3038.92 169.03 411.47 180.79 28 72 355.02 646.4 21
"OG0000039" 358.63 499.18 1315.01 950.65 832.68 612.26 2344.97 125.64 0 5.45 847.01 836.23 1151.28 882.86 846 740.96 496.82 392 524.63 358.57 289.04 517.49 1809.21 1665.29 1554.67 1792.17 305.25 634 705.52 945.55 979.51 509.28 400.63 497.02
"OG0000040" 893.06 4136.41 4092.7 2632.57 313.95 151.03 772.62 232.63 786.24 1509.08 795.8 942.3 2117.71 96 501.49 621.76 465.36 996.32 1481.62 1858.17 1122.52 2845.98 7375 8766.6 6689.36 8236.16 161.57 297.33 434.8 1656 1790.01 1175.1 1942.04 216.96
"OG0000041" 40.57 8.57 20.12 2.37 102.44 52.76 292.68 42.03 91.78 268.76 22.22 36.63 133.37 38.17 288.41 273.46 265.43 397.75 288.09 353.71 171.4 188.48 664.15 652.23 752.75 1160.02 695.55 1384.38 604.05 1512.53 1905.39 1150.19 2111.91 728.17
"OG0000042" 4283.77 429.93 1230.55 536.34 284.27 177.98 987.92 111 365.98 487.87 73.11 122 271.57 233.87 753.55 74.42 98.8 153.33 859.23 1102.89 540.7 223.28 553.77 665.98 264.31 216.25 84.67 424.97 222.98 87.81 118.64 175.59 195.16 196.9
"OG0000043" 630.32 685.19 753.18 600.02 576.95 369.89 1813.15 142 165 404.12 616 802.21 1125.81 32.78 381.76 978.87 498.47 443.95 1137.24 971.09 854.88 268.2 1065.26 807.7 1699.8 2917.65 928.51 1058.04 785.84 1035.79 462.64 640.72 1493.15 630
"OG0000044" 8014.16 5142.87 2847.46 1277.28 597.31 406.62 1808.9 668.24 3675.26 5118.38 269.08 291.41 490.58 4968.79 35483.35 64.4 102.09 196.7 8764.5 9382.48 6569.09 3631.88 6586.49 8287.74 1278.65 1312.09 211.98 402.94 168.68 156.96 285.56 279.05 267.5 5289.32
"OG0000045" 105.78 230.85 291.46 61.88 1121.32 598.15 2605.13 96.74 372.93 674.35 51 48 138.4 79 315 365.14 319.44 547.34 232.6 436.72 77.17 110.67 426.75 486.1 201.07 216.17 97.99 327.41 444.13 1999.01 3200.5 1715.11 3080.03 515.2
"OG0000046" 3329.7 2605.1 3944.64 3780.13 1804.61 978.3 4548.15 307.06 937.58 1515.39 3821.2 5633.05 10754.45 4250.99 6451.95 9125.02 8121.91 12741.96 3378 5003.75 1588.63 507.08 1593.86 2298.85 27314.83 37223.74 640.04 1247.46 481 1047.39 1336.06 965.02 1393.21 6257.63
"OG0000049" 51 55.51 108.33 75.95 121.69 80.39 221.68 2 67.57 107.54 43.88 63.96 113.91 56.39 136.8 65 65.19 161.16 363.24 517.52 118.69 48.04 159.28 226.74 364.1 346.53 0 26.79 0 32.96 73.72 342.99 169.3 13.22
"OG0000050" 1884.66 1377.58 1108.93 68.53 8996.79 5231.53 20596.52 1596.79 16146.08 15010.8 2124.12 3894.01 4015.48 684 772.89 4213.44 26437.16 10220.92 2514.8 2023.03 755.71 5433.43 8240.63 1138.38 20051.05 12659.02 1519.57 3226.16 3238.57 540.41 554.38 3203.65 1926.57 5538.1
"OG0000051" 646.66 932.55 667.13 310.98 456.57 221.94 1168.69 96.01 183.17 511.76 452.68 536.78 779.15 153.13 303.64 84.74 52.79 181.55 591.61 514.49 383.06 373.32 1100.17 1077.65 1692.31 1814.47 773.54 614.02 226.08 176.91 201.05 240.72 606.43 377.16
"OG0000052" 166.01 82.32 303.44 77.54 269.99 126.99 1269.41 31.95 75 124 17.41 53 147.05 90.02 500.01 99.31 195.91 153.99 411.17 429.97 344 95.63 312.83 142.99 420.21 548.92 49 54.9 36.55 163.81 383.99 65.96 309.52 240.35
"OG0000054" 422.54 1797.19 1861.18 1381.22 596.44 259.97 1175.73 188.23 646.6 844.14 1412.99 1386.06 1123.22 397.07 550.99 1043.6 812.55 443.98 1207.13 1213.07 905.35 447.56 2201.03 1300.79 4362.28 3059.72 272.68 101.62 123.93 592.43 789.42 663.51 734.34 1191.34
"OG0000055" 792.48 151.12 154.08 165.25 96 66.19 311.07 69.77 176.13 375.72 39.19 67.77 132.45 197.78 443.62 287.34 170.33 314.44 267.62 401.93 167.9 25.25 83.46 56.73 492.94 499.78 342 681.87 333.97 291.68 505.9 457.36 450.36 598.96
"OG0000057" 470.11 2304.98 2971.59 1121.42 2379.94 1331.01 4532.3 2114.67 8952.27 6656.22 4896.72 5094.99 6373.27 1876.83 1202.65 621.07 5095.33 1794.46 3212.42 2744.62 1049 2278.26 3975.13 826.74 10117.84 5371.82 397.28 2583.51 2852.32 440.22 443.29 4669.05 3366.49 1794.26
"OG0000058" 11329.95 82.89 46.71 65.26 4639.53 3513.25 12880.87 759.38 2969.07 5683.95 540.91 331.97 774.74 62.75 943.07 64.46 73.08 115 474.17 826.31 203.78 363.38 947.37 961.4 1293.29 1734.12 72.54 283.58 105.73 1142.72 1166.59 565.96 1394.53 769.88
"OG0000059" 94.01 140.33 104.89 83.88 314.36 161.95 1034.47 11 77.74 76 110 129.09 179.99 116 474.23 147.7 85.98 98 347.13 138.9 84.72 88.01 338.48 325.01 531.68 898.4 46.58 122.76 110.24 75.33 20.31 92 201.01 31.25
"OG0000061" 45.31 416.04 473.16 590.04 596.76 75.42 1135.39 48.15 94.99 229.07 309.41 311.15 854.04 138.42 345.78 438.2 452.37 488.99 643.56 528.11 357.47 137.03 378.63 171.87 467.6 1419.62 547.55 511.75 232.11 486.19 449.79 332.86 1074.98 124
"OG0000062" 106 299.27 458.99 289.85 206.59 129.04 441.3 231.01 1051.01 1070.81 265.78 311.09 441.59 0 21.08 21.43 455.33 249.34 1135.85 844.18 407 307.34 710.41 381.82 346.35 550.48 328.78 342.62 452.01 369.18 604.09 432.86 617 900.76
"OG0000063" 135 1523.36 1311.59 750.09 604.73 734.4 3181.18 33.34 138 238.49 378.05 155.48 396.19 44.53 523.42 244.42 176.41 158.93 818.19 694.97 497.76 112.16 453.58 280.32 1159.93 1248.6 759.8 340.63 82.84 366.74 364.21 993.37 1360.22 385.97
"OG0000064" 102 128.14 398.2 90.09 1103.24 294.01 1319.44 142.93 1042.42 885.43 691.36 798.68 1258.19 1 22 684.02 387.98 405.03 464.5 104.72 319.59 493.4 1243.08 863.57 425.87 746.93 599.26 309.77 289.77 2118.08 428 935.67 1451.69 300
"OG0000065" 82.96 347.75 270.11 497.69 336.17 242 806.67 43 89.76 150.28 664.12 978 1035.57 195.62 145.37 242 40 111 803.02 709.85 495.99 240.25 934.52 689.15 1207 1780.37 542.99 362 283.01 368.17 128 272.24 374.32 130
"OG0000066" 405.57 143.74 275.08 145.56 37.42 21.14 102.21 103.86 294.28 657.9 31.47 23.17 80.71 10.87 92.78 257.64 388.59 711.94 401.5 669.77 220.23 64.25 113.11 131.21 559.11 744.11 104.24 147.65 61.61 178.12 292.56 113.6 110.69 152.36
"OG0000069" 200.32 578.09 787.83 856.3 263.52 230.83 1204.87 32.93 68.05 221.71 354.4 109.57 854.17 243.01 1459.8 406.36 456.4 494.32 139.59 174.76 135.92 22.75 28.22 17.97 33.89 28.04 208.15 217.42 58.75 672.15 853.55 367.02 299.34 69.96
"OG0000070" 1151.75 1190.92 1766.71 2943.64 855.5 569.97 2311.82 422.87 1231.89 2257.66 96.21 133.66 300.42 45.92 48.9 3904.86 3167.41 8652.16 1701.35 2482.97 748.3 202.77 583.21 467.98 1397.63 1567.03 613.38 1013.24 628.44 1081.49 1125.33 890.46 533.73 4383.74
"OG0000071" 636.54 1115.42 1244.48 431.32 89 51 221.97 956.75 1593.23 1146.44 1420.46 2336.38 1539.99 1854.42 787.33 217.4 722.01 510.17 2318.44 1358.68 2103.15 1050.12 2187.16 413.52 3338.48 1818.52 113.05 845.27 1315.76 609.63 1196.87 1665.99 1576.84 1425.59
"OG0000072" 79.77 502.27 356.95 137.74 1269.41 681.32 2270.49 33.63 177.99 245.99 1498.67 1535 1022.18 38.75 188.88 99 125.72 214 1002.99 637.05 539 44.47 101.18 80.06 506.34 375.94 1086 1218.01 1349.42 458.22 383.07 614.49 793.3 250
"OG0000073" 53.92 258.89 204.09 105.39 413.75 313.23 965.22 21.89 15.9 57.18 160.22 89.57 186.87 92.07 159.34 68.03 45.11 17.29 513.34 342.49 149.58 54.1 121.77 150.54 226.8 375.99 405.58 247.37 163.26 178.46 111.06 33.57 94.82 83.46
"OG0000074" 373.02 129 161 175 659.56 232.65 846.65 58.57 68 131.55 360.66 540.96 600.57 102.77 419.16 184.51 154.92 74.65 513.56 463.06 275.38 167.2 508.06 191.93 849.02 618.1 126 175.24 86.53 124.46 188.67 263.85 404.52 182.4
"OG0000076" 944.34 1341.08 803.16 448.72 1404.25 550.03 2690.1 133.27 67.8 417.06 735.74 552.27 1311 0 2507.02 32.13 274.77 588.01 716.7 878.18 641.65 387.08 1208.56 155.54 649.38 1030.15 985.95 852.41 305.08 235.93 0 261.72 592.26 435.77
"OG0000077" 875.92 340.5 557.23 255.67 1037.22 473.03 2599.22 273.99 558.19 1357.7 81.84 72.41 216.59 103.26 413.16 1474.49 1293.91 3117.34 350.76 645.96 314.27 173.71 441.15 515.77 1637.41 2281.36 155.41 562.37 258.76 953.63 883.42 899.71 726.62 251.26
"OG0000078" 338.25 135 620 329.89 167.43 69.94 841.76 9 0 97 27.97 23.36 242 130.72 526.6 121.99 195 415 392.18 219.21 230.45 69.86 166.79 208.34 239.46 438.93 145.98 334 79.88 149.67 323.06 107.93 302.13 285.9
"OG0000079" 1237.92 1717.47 1434.59 511.15 1134.64 740.51 3952.83 24.97 63.52 44.6 60.38 79.77 202.87 68.98 419.82 181.23 158.28 430.78 1878.15 2168.33 1052.52 579.95 897.59 1158.54 1170.7 856.74 88.91 170.71 59.72 122.85 198.66 98.7 320.09 1057.5
"OG0000080" 534.7 1401.2 2181.48 2056.09 228.11 253.45 763.42 253.54 695.37 1641.7 71.69 89.64 185.54 62.66 52.46 1045.53 623.26 1303.79 350.02 391.44 212.11 382.57 920.2 814.91 358.63 582.84 242.23 370.59 290.64 1423.53 1656.37 1807.07 1973.52 314.76
"OG0000081" 912.29 185.55 253.27 90.74 366.23 138.15 1197.98 305.03 1684.44 2052.12 103.3 229.85 229.39 91.17 198.38 332.97 472.43 863.28 178.82 481.61 10 53 110.29 232.83 522.36 757.99 16.26 24.52 29.97 532.98 778.95 246.39 292.13 1010
"OG0000082" 533.91 367.47 337.37 351.24 307.77 143.55 766.59 40.52 113.23 206.76 46.35 56.71 142.51 109.01 260.71 729.18 794.44 1118.23 54.56 77.85 8.89 140.83 499.86 456.13 181.34 248.3 86 104.2 187.16 1803.38 2481.84 2068.97 2580.99 397.02
"OG0000083" 812.22 473.11 658.23 190.68 346.89 110.91 1164.72 386.8 966.83 1538.85 254.08 330.52 548.29 122 1770.23 1096.37 1055.35 971.09 515.12 755.62 406.33 1366.69 5715.33 7447.71 13736.78 18175.68 31 40.97 31 1852.56 1873.56 528.77 2194.49 703.02
"OG0000084" 570.38 397.73 620.61 414.33 155.54 60.49 413.68 150.84 415.03 836.71 36.99 42.03 150.3 8 175.77 338.59 384.93 675.41 444.16 622.87 168.01 47.02 165 116.87 572.69 914.08 199 315.87 294.24 377.7 596.62 274.46 408.34 476
"OG0000085" 25 445.34 547.72 349.61 274.75 104.93 800.77 314.55 858.75 1474.53 99.24 146.48 278.94 574.02 1320.36 14.8 13.66 29.63 1159.23 2165.93 1392.06 74.72 190.25 100.48 965.61 1041.28 21.79 96.24 53.73 154.28 225 22.44 27.17 782.99
"OG0000087" 0 353.4 336.73 232.9 144.52 93.24 511.84 77 421.02 648.69 65.49 149.71 290.83 140.36 361.78 156 149 138 284.92 540.05 386.92 182.84 600.05 565.42 739.13 953.51 35.16 125.54 125.03 106 136.04 53.05 100.34 21.1
"OG0000088" 457.26 900.18 892.19 399.01 1196.21 887.57 3947.88 93 178.55 321 320.4 236.47 878 129.25 1550.05 448.79 599.75 486.54 1117.85 1036.33 1043.55 167.39 925.12 664.65 334.33 168.93 1507.28 438.08 260.92 590.48 426.26 269.37 680.62 418.71
"OG0000089" 1447.17 92.65 859.21 359.9 126.03 41 493 48 0 51 23 0 12.75 435.47 1512.3 137 129.81 222.76 270.49 301.73 542.96 93.72 425.85 745.86 1336.26 5324.11 43 92.05 47 231.74 602.23 145.91 434.78 1159.62
"OG0000090" 55747.34 24641.64 32457.64 38323.37 1130.96 556.9 3216.08 6778.64 20826.32 47886.24 2802.1 2967.61 4232.75 9972.58 10928.89 12655.55 10334.64 18631.43 6865.21 9134.83 4476.46 82.37 258.83 220.58 5554.67 6906.47 41619.01 73517.84 40346 16898.43 15738.83 59307.35 96876.99 22855.23
"OG0000091" 103 24.61 40.78 17.13 54.22 35.07 161.82 0 54.48 53.39 3 1 13.99 152.04 489.08 268.24 247.14 605.34 111.1 124.15 66 12.12 77.22 101.24 319.82 348.65 99.19 206.94 127.84 114.02 185.98 493.81 567.33 144.05
"OG0000092" 3017.84 3224.68 880.82 890.9 799.88 379.66 2340.93 77.46 183.69 397.44 358.46 699.03 1223.22 65.88 211.15 5382.52 4406.77 8820.75 1230.55 1875.64 457.38 1988.64 6890.15 5526.67 6531.65 7986.43 37.98 198.75 279.69 50.64 89.45 10198.73 13929.77 186.56
"OG0000094" 7 121.12 264.44 241.4 178.26 110.3 802.28 21 19 54 30 20 92 146.05 352.86 79.88 42.8 94 277.06 197.73 167.29 2.95 328.51 402.03 280.86 662.48 130.79 292 71.99 104.7 237.33 35 38 32
"OG0000095" 3909.21 937.88 938.06 593.66 71.23 31.29 133.67 21.7 223.41 203.75 57.97 138.72 179.88 240 558.44 875.37 1065.15 1596.28 322.44 574.76 188.35 135.28 427.59 291.22 889.4 972.68 296.64 499.49 464.42 292.56 430.6 427.84 535.16 76.17
"OG0000096" 3838.47 368.03 452.07 364.86 832.45 409.86 1958.98 210.24 661.53 5100.33 571.25 761.9 1268.11 1284.3 889.79 2182.93 1952.97 4168.1 762.44 1725.83 196.03 309.31 1335.48 1624.66 1351.72 1399.48 23 64.8 6 3541.98 4113.22 161.65 303.36 1979.82
"OG0000097" 380 0 297.33 123.43 242.68 119.3 842.04 153.12 250.01 679.15 401.47 270.01 1123.89 77.57 420.99 364.8 217.84 234.74 767.23 621.82 464.56 63.41 100.59 46.93 126.67 242.16 243.52 483.24 7.49 361.75 667.98 64.96 49.4 398.84
"OG0000098" 42.07 724.39 1231.28 1088.08 363.96 162.98 980.06 73.31 221.5 434.31 67.88 80.02 203.71 166.11 577.25 31.87 15.19 61.57 1133.71 1745.32 917.19 71.44 242.6 171.76 1433.02 1463.62 79 138.08 134.99 147.61 160 54.89 55.72 816.32
"OG0000099" 160 831.87 656.22 1164.67 588.58 514.88 1653.56 76.82 86 220.28 409.11 397.62 679.58 264.99 476.16 295.44 196.48 177.09 913.05 868.99 588 118.29 307.06 194.01 2075.43 2217.12 693.82 733.84 464 258.31 214.37 395.68 312.3 234.72
"OG0000100" 98 367.28 567.39 335.27 49 23 141.7 23 55.88 80.93 10 37 45 111 105 47.44 95.8 209.02 289.23 445.17 209 31.77 108.14 94.95 278.94 423.05 30 37 58 107.63 53.36 44 69 15
"OG0000101" 462.11 236.11 255.87 154.03 671.74 211.99 1376.16 51.96 294.03 645.03 299.13 583.64 689.83 93.84 248.14 10 10 21 2058.83 2262.45 785.14 69.72 194.57 211.54 1133.02 1748.75 282.36 736.61 499.88 432.87 684.37 361.72 469.54 1170
"OG0000102" 1424.59 375.26 437.19 279.2 1229.27 608.19 3414.15 111.15 339.11 613 57.81 59.45 195.57 147.57 637.46 1034.46 1035.54 2048.67 544.39 823.69 353.54 25.04 90.08 102.73 374.29 383.54 69 183.09 221.73 961.3 1197.6 6409.16 5828.56 130.84
